decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated
1,4,40,79,40,3,right+B,7.270992227859097e-06,0.00042158784344792366,6.876167753944173e-05,0.9981949925422668,0.0013073529116809368,0.014505432918667793,0.0,0.0,1,2,400,0,0,0
2,8,43,79,43,3,right+B,7.223021384561434e-06,0.00042074895463883877,6.840383866801858e-05,0.9982016086578369,0.0013019988546147943,0.01445930078625679,3.0,3.0,0,2,400,0,0,0
3,12,47,79,47,3,right+B,7.104561518644914e-06,0.0004146795836277306,6.635527824983001e-05,0.9982362985610962,0.001275566522963345,0.014215098693966866,4.0,7.0,0,2,400,0,0,0
4,16,53,79,53,3,right+B,6.947053861949826e-06,0.00040683435508981347,6.479471630882472e-05,0.9982435703277588,0.0012778423260897398,0.014152348972856998,6.0,13.0,0,2,400,0,0,0
5,20,60,79,60,3,right+B,8.125593012664467e-06,0.0004630231996998191,8.716262527741492e-05,0.9978085160255432,0.0016331067308783531,0.01713418774306774,6.0,19.0,0,2,399,0,0,0
6,24,70,79,70,3,right+B,7.4241997936042026e-06,0.00043755167280323803,8.542957220925018e-05,0.9978285431861877,0.001641102833673358,0.016964703798294067,10.0,29.0,0,2,399,0,0,0
7,28,81,79,81,3,right+B,7.676771019760054e-06,0.00045323395170271397,9.579026664141566e-05,0.9976298809051514,0.0018134459387511015,0.01828083023428917,11.0,40.0,0,2,399,0,0,0
8,32,93,79,93,3,right+B,8.26368614070816e-06,0.0004802031035069376,0.0001070578582584858,0.9974647760391235,0.0019397548167034984,0.019391220062971115,12.0,52.0,0,2,399,0,0,0
9,36,105,79,105,3,right+B,2.1459638446685858e-05,0.0011282291961833835,0.0004846249066758901,0.9880703091621399,0.01029534824192524,0.07055731117725372,12.0,64.0,0,2,399,0,0,0
10,40,117,79,117,3,right+B,0.00011602655285969377,0.004647376015782356,0.013271931558847427,0.6622081398963928,0.31975656747817993,0.7209081053733826,11.0,75.0,0,2,398,0,0,0
11,44,129,97,129,4,right+A+B,0.00012551879626698792,0.004552419297397137,0.028842486441135406,0.2658519446849823,0.7006276845932007,0.7294209003448486,12.0,87.0,0,2,398,0,0,0
12,48,141,117,141,4,right+A+B,0.0001075389955076389,0.0035010995343327522,0.03483578562736511,0.1295919418334961,0.8319636583328247,0.5555850267410278,12.0,99.0,0,2,398,0,0,0
13,52,153,132,153,3,right+B,6.875960389152169e-05,0.003288642503321171,0.003569593420252204,0.9077644944190979,0.08530852943658829,0.33740684390068054,12.0,111.0,0,2,398,0,0,0
14,56,165,134,165,3,right+B,1.821462865336798e-05,0.0009794685756787658,0.0005733376601710916,0.9844426512718201,0.013986393809318542,0.08641763031482697,12.0,123.0,0,2,398,0,0,0
15,60,177,123,177,3,right+B,4.647914011002285e-06,0.0002842879912350327,8.022251859074458e-05,0.9973263740539551,0.0023044475819915533,0.019799504429101944,11.0,134.0,0,2,397,0,0,0
16,64,189,104,189,3,right+B,2.9291591090441216e-06,0.00017990043852478266,4.9284350097877905e-05,0.9975919723510742,0.002175895730033517,0.017821427434682846,12.0,146.0,0,2,397,0,0,0
17,68,201,84,201,3,right+B,1.4802408259129152e-05,0.0006148697575554252,0.0009874767856672406,0.8938052654266357,0.10457759350538254,0.34800800681114197,12.0,158.0,0,2,397,0,0,0
18,72,213,97,213,4,right+A+B,2.362403165534488e-06,4.984630140825175e-05,0.009609528817236423,0.0015620461199432611,0.9887761473655701,0.06641476601362228,12.0,170.0,0,2,397,0,0,0
19,76,225,117,225,4,right+A+B,3.8059442886151373e-07,6.738616775692208e-06,0.0038310973905026913,5.578255149885081e-05,0.996105968952179,0.02583703212440014,12.0,182.0,0,2,397,0,0,0
20,80,237,133,237,4,right+A+B,1.854231044262633e-07,2.93080233859655e-06,0.005203609354794025,6.510720595542807e-06,0.9947866201400757,0.03268047794699669,11.0,193.0,0,2,396,0,0,0
21,84,249,147,249,4,right+A+B,2.2569258817384252e-07,3.780715815082658e-06,0.0042268442921340466,5.478235379996477e-06,0.9957636594772339,0.027449997141957283,12.0,205.0,0,2,396,0,0,0
22,88,261,156,261,4,right+A+B,4.18585068473476e-06,0.00011160709254909307,0.004194760695099831,0.0006544279749505222,0.9950350522994995,0.033779919147491455,12.0,217.0,0,2,396,0,0,0
23,92,273,162,273,4,right+A+B,5.004432750865817e-05,0.0026381798088550568,0.0008085338049568236,0.8649285435676575,0.13157473504543304,0.41428273916244507,12.0,229.0,0,2,396,0,0,0
24,96,285,163,285,3,right+B,1.2857025240009534e-06,9.294712072005495e-05,1.134038825512107e-06,0.9998472929000854,5.733032230637036e-05,0.001608328428119421,12.0,241.0,0,2,396,0,0,0
25,100,297,151,297,3,right+B,4.576700121106114e-06,0.00023262304603122175,1.1945658116019331e-05,0.9996095299720764,0.00014141213614493608,0.0037821270525455475,11.0,252.0,0,2,395,0,0,0
26,104,308,131,308,2,right+A,0.0001003632351057604,0.0013233355712145567,0.42782676219940186,0.013682534918189049,0.5570670366287231,0.7575787305831909,11.0,263.0,0,2,395,0,0,0
27,108,306,111,308,4,right+A+B,0.00016679297550581396,0.00229057390242815,0.20480532944202423,0.07157911360263824,0.7211582064628601,0.7646289467811584,0.0,263.0,1,2,395,0,0,0
28,112,307,91,308,4,right+A+B,0.00027342193061485887,0.004375610500574112,0.0688987746834755,0.716792643070221,0.20965953171253204,0.7765370011329651,0.0,263.0,2,2,395,0,0,0
29,116,310,102,310,3,right+B,6.563525676028803e-05,0.0013180498499423265,0.003947296179831028,0.9866880774497986,0.007980911992490292,0.082996666431427,2.0,265.0,0,2,395,0,0,0
30,120,314,101,314,3,right+B,2.8754890081472695e-05,0.0007051670690998435,0.0009480489534325898,0.9963963627815247,0.0019216062501072884,0.02763359248638153,4.0,269.0,0,2,394,0,0,0
31,124,320,86,320,3,right+B,3.513417686917819e-05,0.000838944164570421,0.001100150984711945,0.995703399181366,0.002322364831343293,0.03217034041881561,6.0,275.0,0,2,394,0,0,0
32,128,327,79,327,3,right+B,1.3820445019518957e-05,0.00044668352347798645,0.00026734932907857,0.9985962510108948,0.0006759600946679711,0.012136556208133698,7.0,282.0,0,2,394,0,0,0
33,132,336,79,336,3,right+B,2.0465682609938085e-05,0.0007049196283333004,0.0009210383868776262,0.9959982633590698,0.0023552891798317432,0.030020680278539658,9.0,291.0,0,2,394,0,0,0
34,136,347,79,347,3,right+B,2.610991032270249e-05,0.0010880323825404048,0.0013150842860341072,0.9936406016349792,0.003930211067199707,0.044532403349876404,11.0,302.0,0,2,394,0,0,0
35,140,359,79,359,3,right+B,8.924682333599776e-06,0.0006254305480979383,0.00040590768912807107,0.9978508949279785,0.0011088516330346465,0.017579467967152596,11.0,313.0,0,2,393,0,0,0
36,144,371,79,371,3,right+B,1.5216971405607183e-05,0.0011861794628202915,0.0015341234393417835,0.995814859867096,0.0014496068470180035,0.03175245225429535,12.0,325.0,0,2,393,0,0,0
37,148,383,79,383,3,right+B,4.726407496491447e-05,0.004672628361731768,0.014595755375921726,0.972077488899231,0.008606811985373497,0.1556970328092575,12.0,337.0,0,2,393,0,0,0
38,152,395,97,395,2,right+A,8.824839460430667e-05,0.009460784494876862,0.7012946009635925,0.09852493554353714,0.19063147902488708,0.8380364179611206,12.0,349.0,0,2,393,0,0,0
39,156,407,117,407,2,right+A,2.799186177071533e-06,0.0003129325632471591,0.8496774435043335,0.00011826631816802546,0.1498885303735733,0.4265096187591553,12.0,361.0,0,2,393,0,0,0
40,160,419,133,419,2,right+A,3.4208915167255327e-07,4.13498273701407e-05,0.8063002824783325,2.323693934158655e-06,0.19365568459033966,0.49196773767471313,11.0,372.0,0,2,392,0,0,0
41,164,431,147,431,4,right+A+B,2.276761506436742e-06,0.00027855311054736376,0.4802089333534241,9.462765592616051e-05,0.5194156169891357,0.6956796646118164,12.0,384.0,0,2,392,0,0,0
42,168,443,156,443,4,right+A+B,5.8523810366750695e-06,0.00083902757614851,0.09595074504613876,0.0016420611646026373,0.9015623927116394,0.33486858010292053,12.0,396.0,0,2,392,0,0,0
43,172,455,162,455,4,right+A+B,4.1852887079585344e-05,0.008387182839214802,0.009902498684823513,0.30710890889167786,0.6745595932006836,0.7143504619598389,12.0,408.0,0,2,392,0,0,0
44,176,467,163,467,3,right+B,1.2751803296850994e-05,0.0030281157232820988,0.0001721161970635876,0.9726152420043945,0.024171791970729828,0.13618549704551697,12.0,420.0,0,2,392,0,0,0
45,180,479,151,479,3,right+B,5.792470346932532e-06,0.0011133811203762889,1.5551560863968916e-05,0.9966644644737244,0.002200742019340396,0.024609722197055817,11.0,431.0,0,2,391,0,0,0
46,184,491,131,491,3,right+B,6.950770512048621e-06,0.0010054534068331122,2.3607715775142424e-05,0.9977037310600281,0.001260256627574563,0.017981605604290962,12.0,443.0,0,2,391,0,0,0
47,188,503,111,503,3,right+B,5.148845048097428e-06,0.0005390738369897008,1.781985702109523e-05,0.9990083575248718,0.0004296318511478603,0.00863603875041008,12.0,455.0,0,2,391,0,0,0
